,サロン名,メニュー名,メニュー詳細,その他（注意事項等）,価格,施術画像等,salon_id
,,whip treatment 60min （表面半身or背面半身）,,,RM650,,13
,,whip treatment 90min （下半身＆背面）,,,RM900,,13
,,whip treatment 120min（全身）,,,RM1100,,13
,,"oil treatment 30min
（上半身半身or下半身半身）",,"※ ホイップトリートメントに少し抵抗がある方はまずオイルで受けて頂くのがおすすめです。
解剖学をもとに筋肉の繋がりや筋関節、骨膜を緩めていきます。この骨膜に的確にアプローチをかける為には、熟練されたテクニックが必要です。
また効率良く心身を整えていくために、神経から刺激して短時間で結果がでるトリートメントになっております。",RM300,,13
,,"oil treatment 60min
（表面半身or背面半身）",,,RM600,,13
,,"oil treatment 90min
（下半身＆背面）",,,RM850,,13
,,"oil treatment 120min
（全身）",,,RM1050,,13
,,"option Each 10min
small face correction 
小顔矯正
",,,RM80,,13
,,"skull adjustment
頭蓋骨調整",,,RM80,,13
,,"face whip treatment
90min only",,"セラムホイップを使用して、フェイスからデコルテにかけてトリートメントを行います。
セラムホイップは化学成分を一切使用せず、美白効果、保湿効果がとても高く、ホイップを使用してのリンパトリートメント後のお肌はキメが整い透明感のあるお肌に仕上がります。
ブースター効果もあるので、その後の有効成分の浸透は抜群です。
リンパトリートメントの後に小顔矯正と頭蓋骨調整を行い、最後にタラソパックをバンテージで固定して、しっかりと引き上げながら、有効成分を浸透させていきます。",RM980,,13
2022/09/15 11:41:43,DoHERMO_KL,よもぎ蒸し　,"よもぎ蒸しとは、生薬を煎じた蒸気を下半身から浴びて吸収させ内臓や体全体を温めていきます。
下腹部を温めることにより、女性特有の悩み(PMSや妊娠、更年期など)の改善に活用されています。
弊社では無農薬にこだわり、3年熟成のよもぎを使用しております。また日本の漢方医の監修のもと、当店オリジナルのレシピで作ったオリジナルブランドの生薬もご用意しております。汗をかき老廃物を出してデトックスしつつ、身体の不調も改善に向けて働きかけます。",,未定,https://drive.google.com/open?id=1B7c5TqWjwPptsLlQqmwhOPHOymXmbvE1,9
2022/09/15 11:46:26,beauty salon moana,Keratin Lash Lift,"まつ毛に必要なケラチントリートメントを入れながらのまつ毛パーマ。
薬剤によるダメージを抑えることにより
、パーマの持続力もUP！
アイシャンプー付きの極上まつ毛パーマです。",マスカラ、ビューラーは無しでご来店下さい。,定価8000円→初回7000円,https://drive.google.com/open?id=1C8mf7NtK1GYuh2JG_z04TnPrisruH4Iv,8
2022/09/15 17:59:59,Anti-AgingSalon Fluffy,Body 90min,"ホイップトリートメントで包まれた後に、キャリアオイルで無重力セラピーをおこなっていきます。解剖学をもとに筋肉の繋がりや、骨膜を緩めるために生み出された唯一無二のアプローチ法になります。
体感したことのないような幸福感に、姿勢改善や機能性向上による、本来の美しさを取り戻します。
90分コースまでは上半身か下半身かどちらかをお選びください。","
ホイップトリートメントは、心身の解放とメンテナンスを目的として、体の深部までアプローチします。
その為、トリートメントの後に特有の倦怠感（だるさ・重さ）起こる場合があります。
トリートメントを行うことで、急に筋肉がほぐれてしまい、一種の筋肉痛になる現象が起こる為です。
お客様の体調等により症状は異なりますが、時間と経過と共に回復していくので、問題はありません。
この症状は体を改善していく為の一過性の現象です。
○過去にアレルギーをお持ちでいなかった方でも、稀に精油やハーブのアレルギー反応が起こることがあります。
そのような場合も当店では責任を負い兼ねますので、予めご了承ください。
皮膚アレルギーやトラブルをお持ちの方は事前に必ずお申し付けください。",610RM,https://drive.google.com/open?id=1Mm1fVaLpDnzmrSzeghEAO6oKgjvu6A_p,13
2022/09/15 18:02:21,Anti-AgingSalon Fluffy,Body 120min,"ホイップトリートメントで包まれた後に、キャリアオイルで無重力セラピーをおこなっていきます。解剖学をもとに筋肉の繋がりや、骨膜を緩めるために生み出された唯一無二のアプローチ法になります。
体感したことのないような幸福感に、姿勢改善や機能性向上による、本来の美しさを取り戻します。
120分コースからは全身になります。","
ホイップトリートメントは、心身の解放とメンテナンスを目的として、体の深部までアプローチします。
その為、トリートメントの後に特有の倦怠感（だるさ・重さ）起こる場合があります。
トリートメントを行うことで、急に筋肉がほぐれてしまい、一種の筋肉痛になる現象が起こる為です。
お客様の体調等により症状は異なりますが、時間と経過と共に回復していくので、問題はありません。
この症状は体を改善していく為の一過性の現象です。
○過去にアレルギーをお持ちでいなかった方でも、稀に精油やハーブのアレルギー反応が起こることがあります。
そのような場合も当店では責任を負い兼ねますので、予めご了承ください。
皮膚アレルギーやトラブルをお持ちの方は事前に必ずお申し付けください。",750RM,,13
2022/09/15 18:06:03,Anti-AgingSalon Fluffy,Body 150min,"ホイップトリートメントで包まれた後に、キャリアオイルで無重力セラピーをおこなっていきます。解剖学をもとに筋肉の繋がりや、骨膜を緩めるために生み出された唯一無二のアプローチ法になります。
体感したことのないような幸福感に、姿勢改善や機能性向上による、本来の美しさを取り戻します。
120分コースからは全身になります。","ホイップトリートメントは、心身の解放とメンテナンスを目的として、体の深部までアプローチします。
その為、トリートメントの後に特有の倦怠感（だるさ・重さ）起こる場合があります。
トリートメントを行うことで、急に筋肉がほぐれてしまい、一種の筋肉痛になる現象が起こる為です。
お客様の体調等により症状は異なりますが、時間と経過と共に回復していくので、問題はありません。
この症状は体を改善していく為の一過性の現象です。
○過去にアレルギーをお持ちでいなかった方でも、稀に精油やハーブのアレルギー反応が起こることがあります。
そのような場合も当店では責任を負い兼ねますので、予めご了承ください。
皮膚アレルギーやトラブルをお持ちの方は事前に必ずお申し付けください。",890RM,"https://drive.google.com/open?id=1DVDfvfPiiYHrZZi2tajy2uiugndlD5DY, https://drive.google.com/open?id=1dhqblFuAwyQ50tpoZT_kYmRMoowgH5-Y, https://drive.google.com/open?id=1n7tlBieUHKZbsdiuZ7OLJmUcCb43drgg",13
2022/09/15 18:28:42,Anti-AgingSalon Fluffy,Faical 90min,"
筋膜からアプローチした小顔矯正、頭蓋骨調整でベースを整えてから、ホイップリンパトリートメントをしていきます。美肌成分配合でお肌をしっかり保湿し、その後導入する美容液成分の浸透をよくします。
トリートメント後にタラソパックをバンテージして引き上げ、リフトアップしていきます。鎮静効果もあるため、日焼け後や肌荒れにお悩みの方にもおすすめです。","
皮膚アレルギーやトラブルをお持ちの方は事前に必ずお申し付けください。
下記に該当する症状がある場合はコースをご提供できないことがあります。
▫️皮膚感染症
▫️手術直後
▫️日焼け直後で炎症を起こしている方
▫️美容医療を受けた直後",690RM,"https://drive.google.com/open?id=1nVwYleM5zJ0Da2EwOaTvZAv-7Bu-5Qq2, https://drive.google.com/open?id=1XrDVwZSG2EroWXN1QUazGFQBP_wY-uR8",13
2022/09/15 22:10:52,beauty salon moana,HOLLEYWOOD BROW LIFT,"Hot New Trend！
ブロウラミネーション&ブロウWAXのCombo
眉毛の毛流れをリフトUP★
ブラシ1本で自由自在に毛流れが動かせるので
眉メイクが決まります。","眉毛は7mm以上ないと施術できない場合がございます。
眉毛(眉周りも含め)施術当日まて剃ったり抜いたりしないようにお願いします。",通常8000円→初回7000円,https://drive.google.com/open?id=1jIzo28DqfJmR9Q1j0mjBedO0R82aeTYm,8
2022/09/18 18:03:08,Lien Kelly,ワンカラー ,単色塗りです♪色追加可能(別途料金),,ご新規様4800/リピーター様5300,"https://drive.google.com/open?id=1Q7vAig4vvE1nV-XjxDQrtpUYJ17ga0se, https://drive.google.com/open?id=1TGcfbTXpzjM35XBEZWmwowP2VIXfaA0-, https://drive.google.com/open?id=1gXWApYSUQ525vSyZZxkdRE94jUsRgTN8, https://drive.google.com/open?id=1u-CfrGzIyNeuQge1hwgDJULgy9S62itS",10
2022/09/18 18:26:42,Lien Kelly,シンプルコース,ワンカラー+デザイン1〜2本　ベース一層残しのフィルイン(状態によりできない場合もあります。),"手書きアート、フレンチはスタンダードコースでのご予約をお願い致します。
付け替えオフ
1ヶ月以内550
1ヶ月以上1100
1ヶ月以内の次回予約でオフ代無料です♪(変更可)",ご新規様5500/リピーター様5800,"https://drive.google.com/open?id=1uTqWVzS11fsJaQQfQxT3UYcXChkHH4vL, https://drive.google.com/open?id=12l0SidtgIeIpi5QWAdsnGlVEu_5_oglo, https://drive.google.com/open?id=13EPC8bC_8xVyXfETaEVkAhrEiG-gyCml, https://drive.google.com/open?id=19iChXF24mmN-HJrJWsesU8btfBnlleda, https://drive.google.com/open?id=1aIiRuMa0THxXmuE9kPvzjj-R8JnzKKIF",10
2022/09/18 18:54:03,Lien Kelly,ナチュラルコース,ワンカラー＋デザイン3〜4本　ベース一層残しのフィルイン(状態により出来ない場合もございます。) パラジェル取扱有り(別途550円),"手書きアート、フレンチはスタンダードコースでのご予約をお願い致します。
付け替えオフ
1ヶ月以内550
1ヶ月以上1100
1ヶ月以内の次回予約でオフ代無料です♪(変更可)",ご新規様6500/リピーター様6800,"https://drive.google.com/open?id=1PyzHeOOqEYbYIqPHnYfDGMccGc9jGHig, https://drive.google.com/open?id=1nlGjOtHvP8g2S3ITABkQbv--OQdFQrIn, https://drive.google.com/open?id=15wz3ms80TcTJyZ7T9Cm42B5HniW4Icek, https://drive.google.com/open?id=1uNEQYKvISUPsUd8bRBnoCupZ--WlPUwB, https://drive.google.com/open?id=1Sx4oKoJ6FlcKli6gjlv7binejtj3xQKt, https://drive.google.com/open?id=1bGG2WqpMb1o9lLrNCXa1UJqufXG2KTJp, https://drive.google.com/open?id=1zzIip0iWL-YajFA3hbNUivwtaiJJxV0n, https://drive.google.com/open?id=1eE2QfejjOqAbjGIgMqhBeKLcwuFPhs-k, https://drive.google.com/open?id=1_wKKMTAWqhCcWVJiXMRWcYfCQaEyj7S6, https://drive.google.com/open?id=18mzh2YaJqKhlAjPGoosGQmZQL-ItTgJQ",10
2022/09/18 19:36:01,Lien Kelly,スタンダードコース,ワンカラー＋デザイン5〜7本(手書き、フレンチ含む)　ベース一層残しのフィルイン(状態により出来ない場合もございます。) パラジェル取扱有り(別途550円) デザインの種類により本数前後する場合もございます。,"付け替えオフ
1ヶ月以内550
1ヶ月以上1100
1ヶ月以内の次回予約でオフ代無料です♪(変更可)",ご新規様7500/リピーター様7800,"https://drive.google.com/open?id=1OTsCPzeX8q9P6gnV3Dcvrh-BrA5MoC2J, https://drive.google.com/open?id=1hKKz46HJ-2Tth2PpWIRLXe4PvcXmDGHI, https://drive.google.com/open?id=1r9EKKPbHRpPzAauvy1S7in24mh7i2u2l, https://drive.google.com/open?id=1RYua9_XDL1yubYb0XnRBl0zDnTQCR28M, https://drive.google.com/open?id=1VSrXdvbvcyAzP3tOeERzjveW-IBJ_f75, https://drive.google.com/open?id=1RLOpFQlj5fH04DTA4-ud4ZBALehtXQvv, https://drive.google.com/open?id=1RGVe_W0Tq9aVIz5k5ujP2q5Rp1-AjTz4, https://drive.google.com/open?id=1RdAsLGroRfWHJUoActVsF-2OBrALLlsw, https://drive.google.com/open?id=1HIp1uf30ast_g2sBBTHXT1r03O4xwEvh",10
2022/09/18 19:47:35,Lien Kelly,プレミアムコース,ワンカラー＋デザイン8〜10本　ベース一層残しのフィルイン(状態により出来ない場合もございます。) パラジェル取扱有り(別途550円) デザインの種類により本数前後する場合もございます。,"付け替えオフ
1ヶ月以内550
1ヶ月以上1100
1ヶ月以内の次回予約でオフ代無料です♪(変更可)",ご新規様8500/リピーター様8800,"https://drive.google.com/open?id=146n665HZXG9aBhiuFkWhm6g5lmurt_KD, https://drive.google.com/open?id=13oVp9wXZXh0Gc7z-HwTQf8PUqsy-MYEC, https://drive.google.com/open?id=1MW8YWqQLxl-2gu-ouiev7AZTvvBHGgZg, https://drive.google.com/open?id=1ljNLj19NMLMPNVUOu5CO8dZalQLv9jZ6, https://drive.google.com/open?id=14SrPjfFgtE05SIATpYDKtphYF07DI_xJ, https://drive.google.com/open?id=1h3RV_NN-tnf-AfHpwpL1nrn_v3LFzHuJ, https://drive.google.com/open?id=1BR1aTmQLvaDgTb40Cx-UHchNOHpt6heV, https://drive.google.com/open?id=1HVh26aDJMYWbA5rdrEZou8yoXV0hbrXW, https://drive.google.com/open?id=15cvzHKJwWoV7KcVe6ByiemJ86VShJbV7, https://drive.google.com/open?id=1oBgjlWzJ8HkRMrqGrLo1WQNPhM5n321o",10
2022/09/18 20:17:53,Lien Kelly,ロイヤルコース,マグネット、ミラー、特殊アート含むデザイン10本　ベース一層残しのフィルイン(状態により出来ない場合もございます。) パラジェル取扱有り(別途550円),"付け替えオフ
1ヶ月以内550
1ヶ月以上1100
1ヶ月以内の次回予約でオフ代無料です♪(変更可)",ご新規様9500/リピーター様9800,"https://drive.google.com/open?id=1KkevX3Lzmig4GNq2_99jnbELVlI2UCqE, https://drive.google.com/open?id=1nzDDJH8bUItCxmszhHcj5cq8EG837XqL, https://drive.google.com/open?id=1ZTyCh5O6NsjV2zctpD0zwEGeYLTLAxLJ, https://drive.google.com/open?id=1TkDlctbCcR_iE35OEiR4X8iywJ-QfztY, https://drive.google.com/open?id=1p2Lp40IFnNGItDfR_BXlTffj7skYKmxR, https://drive.google.com/open?id=1BJV7IidgI5NSELABeBNBHbscucdGEatc",10
2022/09/18 21:25:29,Lien Kelly,footシンプルコース,ワンカラー＋アート1〜2本,"付け替えオフ
1ヶ月以内550
1ヶ月以上1100
1ヶ月以内の次回予約でオフ代無料です♪(変更可)",6500,https://drive.google.com/open?id=1Y7OM7F8Wi-aNh5sJRKMF5DZRCAGpCh4X,10
2022/09/18 21:29:47,Lien Kelly,footナチュラルコース,ワンカラー＋デザイン3本〜4本,"付け替えオフ
1ヶ月以内550
1ヶ月以上1100
1ヶ月以内の次回予約でオフ代無料です♪(変更可)",7500,"https://drive.google.com/open?id=1YoHqBUgYbZJQ91ZZLgmhSNZnDGZ83i0Z, https://drive.google.com/open?id=1acfh8Y3BK3rYbt_e8ddeLadSqBPM280w",10
2022/09/18 21:30:59,Lien Kelly,footスタンダードコース,ワンカラー＋デザイン5本〜7本,"付け替えオフ
1ヶ月以内550
1ヶ月以上1100
1ヶ月以内の次回予約でオフ代無料です♪(変更可)",8500,"https://drive.google.com/open?id=1LrGnW9aNId1cjNZCrNDxng9eN75J4xdd, https://drive.google.com/open?id=1nG-tTQxmkgv0pg5zwySn9Zf6d9UlAgBS, https://drive.google.com/open?id=1xUYgghblLuJWiATOz2JVsq51q2ETP7WP",10
2022/09/18 21:33:07,Lien Kelly,footプレミアムコース,デザイン〜10本(マグネット、ミラー、手書きデザイン含む),"付け替えオフ
1ヶ月以内550
1ヶ月以上1100
1ヶ月以内の次回予約でオフ代無料です♪(変更可)",9500,"https://drive.google.com/open?id=1dEG2PoLIEuy8LoA4_QnIwURgtwUlJb4y, https://drive.google.com/open?id=1DEN11IMqOByk7DRvBUEkbZATgxZ7tzu0, https://drive.google.com/open?id=1RCoyiyaydMogcSU8s7nvMOmH1wGGusYf",10
2022/09/18 21:36:21,Lien Kelly,アクリルスカルプチュア,"1本880円〜、10本8800円
爪が折れた場合の長さだしや長さが欲しい時にご利用下さい♪
10本スカルプチュアの場合スカルプ料金＋デザイン代となります。","スカルプオフ4400円
当店付け替えの場合半額の2200円",880円〜,"https://drive.google.com/open?id=1a_b466ognNI5FRPxTvIX3Mj_-pDDknw9, https://drive.google.com/open?id=1ct_AIqLjSd9HuDGlv7OenCYGkJLe8gWm",10
2022/09/18 21:37:45,Lien Kelly,リペア、亀裂補強,お爪に亀裂が入った場合の補強。,,1本/550円〜,,10
2022/09/18 21:45:57,Lien Kelly,wax脱毛,"※手の甲、手の指と足の指限定
自己処理を忘れがちな指の毛もネイルとセットで綺麗にしましょう！
産毛や古い角質も取り除くことができすべすべの肌に♪

足、指単品1200 手の甲込み1500

ジェルの付け替えとセットで300円オフになります。",肌の弱い方は一度ご相談ください。,ネイルとセット900〜1200/単品1200〜1500,,10
2022/09/21 0:38:54,R∞tsメディカル整体院,メディカル整体,"国家資格保持者による施術☆顔&身体の不調、根本改善を目指します。 顔の歪み,左右差,むくみ,フェイスライン,エラ,ハチ,首肩こり,腰痛,姿勢の歪み,歩き方…身体全体を改善する贅沢メニュー★",,まだ決まっていない,https://drive.google.com/open?id=19chJxsyT6NwZ-IkPJMFH-j63pQgiswto,12
2022/09/21 6:33:00,Bijou Queen,５０分　ボディケア,"痩身機器を使用し、筋膜リリースやリンパドレナージュを行い、血の巡りやリンパの回りを良くし、セルライトと脂肪細胞を小さくしていきます。

また、痩せていただくためのホームケアやお食事のアドバイスもいたします。","このメニューを受けただけで体重が減ったり、体型が劇的に変わったりするものではありません。あくまでもこのメニューを受け、痩せやすいお体つくりのサポートをし、お客様へのホームケアやお食事のアドバイスを実行していただき２人３脚でダイエットに取り組み結果を出す内容になっております。

また、結果には個人差もございます。

下記の方は施術をご遠慮いただいております。
・精神疾患のある方
・妊娠または授乳中の方
・産後１年未満の方
・糖尿病の方
・高血圧症、または医師から運動を止められている方
・ホルモン治療をされている方
・医療用電子機器を使用されている方
・脂肪組織が極端に少ない方
","￥１１,０００ー","https://drive.google.com/open?id=1FYgL5uSLlXHL-cEYPkYu0DXDm_b9DcbI, https://drive.google.com/open?id=1Mr5L4o5YvKbQdzs6DQZYMDxuJxq6lp9A",14
2022/09/21 12:21:28,Ellenail_KL,ネイル,"・ハンドケア、ネイル
・フットケア、ネイル",,"10,000",,11
2022/09/21 13:22:48,Alii,陶肌トリートメントnormalコース,"当サロン1番人気の剥離しないハーブピーリング
300種類の5年熟成した酵素を使用して古い角質のタンパク質と脂質を優しく分解してソフトにピーリングすることで肌のくすみや毛穴、ニキビの予防にも有効です。
同時に植物幹細胞を導入していくことでお肌のターンオーバーを整えるとともに保湿力もしっかり上げていきます。
繰り返し続けることでお肌が陶器のようなつるんとした滑らかなお肌に生まれ変わります。

こちらはその基本となるコースになります。
その他に、エイジングコース、センシティブコース、アクネコースなど何種類かあります。
",顔剃り後、日焼け直後や施術後の日焼け、プールはさけてください。ステロイド使用の方はご相談ください,18000円税抜,"https://drive.google.com/open?id=1vNLow0S4m8ut2xlGHcroiMFsmfqC6jBw, https://drive.google.com/open?id=1sJXqIXfaUKzWpJBPynUc-3kZGRLr1xB8, https://drive.google.com/open?id=1f6Njnb_Cftkrqft5h2z8tfXQphKI3Y5e, https://drive.google.com/open?id=1aD7cKoKK1QG4CoNWLd3PsMgE3I7zQz4Q, https://drive.google.com/open?id=1O1pe8-BLMN80cmNFZ3UmqkjiTi32q1ny",4
2022/09/21 21:12:20,Ellenail_KL,ネイル,"ハンドケアからジェルアートまで幅広くトレンドにあわせたご提案をいたします。
また豊富な素材を取り揃え、お客様のリクエストにも対応いたします。",,"10,000円",,11
2022/09/22 10:05:06,Newdeal,似合わせアイブロウ,"ブロウリフトで毛流れを整え、骨格に似合わせた似合う眉のご提案
ティント剤を使用してのアイブロウメイク・左右バランスを整えるWax脱毛をセットにします。",,8000,"https://drive.google.com/open?id=1jK3OCwBroIwQhwlcxgwGekmCBFM9bDaB, https://drive.google.com/open?id=1ezGkw2zY-HpciQ9hfwkT7ciKVrBPk3Wb",18
2022/09/22 10:05:52,Newdeal,LEDまつ毛エクステ,高温多湿の場所でも持続性を叶えるLEDと、日本発【化粧品認可の接着剤】を使用して、海外トレンドの技術を叶えます。,,7000,"https://drive.google.com/open?id=1pym2DR0nTveDUsv7ATHES0h5QYlfKyO-, https://drive.google.com/open?id=1oJOKlQhq8EcmSU1MpvSyi61UmEnoWbkp",18
2022/09/22 10:06:48,Newdeal,lash lift,骨格に合わせた豊富な種類のロットの中から似合うまつ毛をパーマ致します。,,5000,https://drive.google.com/open?id=15t0i58---Ca37IhZRHToNCu7eBhO-IIn,18
2022/09/22 13:56:22,Belle,全顔美容脱毛☆初回様限定,"定価￥8500→￥5000　初回のみのお顔全体脱毛+保湿パック付きです。その他６回、１２回コースのお得なプランあります。フェイシャル専門店の顔脱毛をお試しください。
＋1000円でカスマラパック変更可
＋2000円でカスマラパックゴールドに変更可",２週間に1回の施術ペースになっております,5000円,https://drive.google.com/open?id=1nHn09aUuXdXDVC4DReW4PbSbFwU6DOSV,7
2022/09/22 14:12:31,Belle,全顔美容脱毛☆通常価格１回,"お顔全体脱毛+保湿パック付きです。その他６回、１２回コースのお得なプランあります。フェイシャル専門店の顔脱毛をお試しください。
＋1000円でカスマラパック変更可
＋2000円でカスマラパック変更可","前回の施術から2週間以降にご予約ください
妊娠されてる方の施術不可",8500円,https://drive.google.com/open?id=11kWdLSx-5VBonfh3hV357mtYvir05qvv,7
2022/09/22 14:16:32,Belle,全然美容脱毛☆6回コース,"お顔全体脱毛+保湿パック付きです。フェイシャル専門店の顔脱毛をお試しください。
＋1000円でカスマラパック変更可
＋2000円でカスマラパック変更可",前回の施術から2週間以降にご予約ください,45000円,https://drive.google.com/open?id=18DLCpfKxVNy1N9CU6v7MxHi7CureswA8,7
2022/09/22 14:19:36,Belle,全顔美容脱毛☆12回コース,"お顔全体脱毛+保湿パック付きです。フェイシャル専門店の顔脱毛をお試しください。
＋1000円でカスマラパック変更可
＋2000円でカスマラパック変更可",前回の施術から2週間以降にご予約ください,78000円,https://drive.google.com/open?id=1FHgQGAba3bxscrAEyKE4h0bYcSn7ZyQA,7
2022/09/22 14:31:22,Belle,ハーブピーリング☆初回様限定,ハーブピーリングで美肌生成！また凸凹肌/毛穴の開き肌にお悩みの方へ！約2～3週間に1度の施術です。,,4500円,https://drive.google.com/open?id=1JdYwl2TPyxBOZ5v8DnOyL4bjYe5hXM9-,7
2022/09/22 14:33:30,Belle,ハーブピーリング☆通常価格,ハーブピーリングで美肌生成！また凸凹肌/毛穴の開き肌にお悩みの方へ！約2～3週間に1度の施術です。,,7000円,https://drive.google.com/open?id=1-Qx0FrJkgp1WysI0wIxTK8VgJVoby92L,7
